Gene_set,Term,Term_Name,Overlap,term_size,query_size,P-value,Adjusted P-value,Genes,significant,description,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0035235,ionotropic glutamate receptor signaling pathway,6,23,10,1.4916186632736506e-13,4.430107429922742e-11,2899;2902;2903;2904;2905;2906,True,"""The series of molecular signals initiated by glutamate binding to a glutamate receptor on the surface of the target cell, followed by the movement of ions through a channel in the receptor complex, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling, ISBN:0198506732]",19241,0.6,0.2608695652173913,query_1,"['GO:0007215', 'GO:1990806']"
GO:BP,GO:1990806,ligand-gated ion channel signaling pathway,6,36,10,1.4357193944138534e-12,1.4880111370507804e-10,2899;2902;2903;2904;2905;2906,True,"""The series of molecular signals initiated by activation of a ligand-gated ion channel on the surface of a cell. The pathway begins with binding of an extracellular ligand to a ligand-gated ion channel and ends with a molecular function that directly regulates a downstream cellular process, e.g. transcription."" [GOC:bhm, PMID:25869137]",19241,0.6,0.16666666666666666,query_1,['GO:0007165']
GO:BP,GO:0098976,excitatory chemical synaptic transmission,5,12,10,1.503041552576546e-12,1.4880111370507804e-10,2902;2903;2904;2905;2906,True,"""Synaptic transmission that results in an excitatory postsynaptic potential."" [GOC:dos]",19241,0.5,0.4166666666666667,query_1,['GO:0007268']
GO:BP,GO:0007215,glutamate receptor signaling pathway,6,51,10,6.619643655856887e-12,3.9731132472863244e-10,2899;2902;2903;2904;2905;2906,True,"""The series of molecular signals initiated by the binding of glutamate to its receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, PMID:9131252]",19241,0.6,0.11764705882352941,query_1,['GO:0007166']
GO:BP,GO:0051966,"regulation of synaptic transmission, glutamatergic",6,77,10,6.93947066340929e-11,2.2900253189250656e-09,2899;2902;2903;2904;2905;2906,True,"""Any process that modulates the frequency, rate or extent of glutamatergic synaptic transmission, the process of communication from a neuron to another neuron across a synapse using the neurotransmitter glutamate."" [GOC:ai]",19241,0.6,0.07792207792207792,query_1,"['GO:0035249', 'GO:0050804']"
GO:BP,GO:2000463,positive regulation of excitatory postsynaptic potential,5,33,10,2.24182868770156e-10,6.658231202473633e-09,2902;2903;2904;2905;2906,True,"""Any process that enhances the establishment or increases the extent of the excitatory postsynaptic potential (EPSP) which is a temporary increase in postsynaptic potential due to the flow of positively charged ions into the postsynaptic cell. The flow of ions that causes an EPSP is an excitatory postsynaptic current (EPSC) and makes it easier for the neuron to fire an action potential."" [GOC:bf, GOC:BHF]",19241,0.5,0.15151515151515152,query_1,"['GO:0009967', 'GO:0060079', 'GO:0098815']"
GO:BP,GO:0051968,"positive regulation of synaptic transmission, glutamatergic",5,36,10,3.050293215932257e-10,8.235791683017095e-09,2902;2903;2904;2905;2906,True,"""Any process that activates, maintains or increases the frequency, rate or extent of glutamatergic synaptic transmission, the process of communication from a neuron to another neuron across a synapse using the neurotransmitter glutamate."" [GOC:ai]",19241,0.5,0.1388888888888889,query_1,"['GO:0035249', 'GO:0050806', 'GO:0051966']"
GO:BP,GO:0035249,"synaptic transmission, glutamatergic",6,108,10,3.481114791858097e-10,8.61575910984879e-09,2899;2902;2903;2904;2905;2906,True,"""The vesicular release of glutamate from a presynapse, across a chemical synapse, the subsequent activation of glutamate receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:dos]",19241,0.6,0.05555555555555555,query_1,['GO:0007268']
GO:BP,GO:0098815,modulation of excitatory postsynaptic potential,5,50,10,1.3293143975160213e-09,2.6320425070817222e-08,2902;2903;2904;2905;2906,True,"""Any process that modulates the frequency, rate or extent of excitatory postsynaptic potential (EPSP). EPSP is a process that leads to a temporary increase in postsynaptic potential due to the flow of positively charged ions into the postsynaptic cell. The flow of ions that causes an EPSP is an excitatory postsynaptic current (EPSC) and makes it easier for the neuron to fire an action potential."" [GOC:dos]",19241,0.5,0.1,query_1,"['GO:0009966', 'GO:0031644', 'GO:0042391', 'GO:0050804', 'GO:0060079']"
GO:BP,GO:0060078,regulation of postsynaptic membrane potential,6,148,10,1.903360182623191e-09,3.533112338994298e-08,2899;2902;2903;2904;2905;2906,True,"""Any process that modulates the potential difference across a post-synaptic membrane."" [GOC:dph, GOC:ef]",19241,0.6,0.04054054054054054,query_1,['GO:0042391']
GO:BP,GO:0048168,regulation of neuronal synaptic plasticity,5,58,10,2.3480524308886875e-09,4.1021857174937654e-08,2902;2903;2904;2905;2906,True,"""A process that modulates neuronal synaptic plasticity, the ability of neuronal synapses to change as circumstances require. They may alter function, such as increasing or decreasing their sensitivity, or they may increase or decrease in actual numbers."" [GOC:jid, PMID:11891290]",19241,0.5,0.08620689655172414,query_1,['GO:0048167']
GO:BP,GO:0060079,excitatory postsynaptic potential,5,108,10,5.179523764956059e-08,6.688341557356303e-07,2902;2903;2904;2905;2906,True,"""A process that leads to a temporary increase in postsynaptic potential due to the flow of positively charged ions into the postsynaptic cell. The flow of ions that causes an EPSP is an excitatory postsynaptic current (EPSC) and makes it easier for the neuron to fire an action potential."" [GOC:dph, GOC:ef]",19241,0.5,0.046296296296296294,query_1,"['GO:0060078', 'GO:0099565']"
GO:BP,GO:0099565,"chemical synaptic transmission, postsynaptic",5,118,10,6.953298000648408e-08,8.260518024770307e-07,2902;2903;2904;2905;2906,True,"""The part of synaptic transmission occurring in the post-synapse: a signal transduction pathway consisting of neurotransmitter receptor activation and its effects on postsynaptic membrane potential and the ionic composition of the postsynaptic cytosol."" [GOC:dos]",19241,0.5,0.0423728813559322,query_1,"['GO:0007166', 'GO:0007268', 'GO:0050877']"
GO:BP,GO:0031644,regulation of nervous system process,5,118,10,6.953298000648408e-08,8.260518024770307e-07,2902;2903;2904;2905;2906,True,"""Any process that modulates the frequency, rate or extent of a neurophysiological process, an organ system process carried out by any of the organs or tissues of the nervous system."" [GOC:dph, GOC:mah, GOC:tb]",19241,0.5,0.0423728813559322,query_1,"['GO:0044057', 'GO:0050877']"
GO:BP,GO:0050806,positive regulation of synaptic transmission,5,164,10,3.41382330448443e-07,3.755205634932873e-06,2902;2903;2904;2905;2906,True,"""Any process that activates or increases the frequency, rate or extent of synaptic transmission, the process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse."" [GOC:ai]",19241,0.5,0.03048780487804878,query_1,"['GO:0007268', 'GO:0010647', 'GO:0023056', 'GO:0050804']"
GO:BP,GO:0097553,calcium ion transmembrane import into cytosol,5,179,10,4.967029560915899e-07,5.26859921282865e-06,2902;2903;2904;2905;2906,True,"""A process in which a calcium ion is transported from one side of a membrane to the other into the cytosol by means of some agent such as a transporter or pore."" [GOC:vw]",19241,0.5,0.027932960893854747,query_1,['GO:0070588']
GO:BP,GO:0042391,regulation of membrane potential,6,458,10,9.415888681664392e-07,9.321729794847749e-06,2899;2902;2903;2904;2905;2906,True,"""Any process that modulates the establishment or extent of a membrane potential, the electric potential existing across any membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane."" [GOC:jl, GOC:mtg_cardio, GOC:tb, ISBN:0198506732]",19241,0.6,0.013100436681222707,query_1,['GO:0065008']
GO:BP,GO:0048167,regulation of synaptic plasticity,5,207,10,9.415888681664392e-07,9.321729794847749e-06,2902;2903;2904;2905;2906,True,"""A process that modulates synaptic plasticity, the ability of synapses to change as circumstances require. They may alter function, such as increasing or decreasing their sensitivity, or they may increase or decrease in actual numbers."" [GOC:dph, GOC:jid, GOC:tb, PMID:11891290]",19241,0.5,0.024154589371980676,query_1,"['GO:0050804', 'GO:0065008']"
GO:BP,GO:0050804,modulation of chemical synaptic transmission,6,497,10,1.3564584244384368e-06,1.1849063295829874e-05,2899;2902;2903;2904;2905;2906,True,"""Any process that modulates the frequency or amplitude of synaptic transmission, the process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse. Amplitude, in this case, refers to the change in postsynaptic membrane potential due to a single instance of synaptic transmission."" [GOC:ai]",19241,0.6,0.012072434607645875,query_1,"['GO:0007268', 'GO:0099177']"
GO:BP,GO:0099177,regulation of trans-synaptic signaling,6,498,10,1.3564584244384368e-06,1.1849063295829874e-05,2899;2902;2903;2904;2905;2906,True,"""Any process that modulates the frequency, rate or extent of trans-synaptic signaling."" [GOC:dos]",19241,0.6,0.012048192771084338,query_1,"['GO:0010646', 'GO:0023051', 'GO:0099537']"
GO:BP,GO:0019722,calcium-mediated signaling,5,231,10,1.3564584244384368e-06,1.1849063295829874e-05,2902;2903;2904;2905;2906,True,"""Any intracellular signal transduction in which the signal is passed on within the cell via calcium ions."" [GOC:signaling]",19241,0.5,0.021645021645021644,query_1,['GO:0141124']
GO:BP,GO:0060291,long-term synaptic potentiation,4,94,10,2.477704734094084e-06,1.9888602865566025e-05,2903;2904;2905;2906,True,"""A process that modulates synaptic plasticity such that synapses are changed resulting in the increase in the rate, or frequency of synaptic transmission at the synapse."" [GOC:dgh, GOC:dph]",19241,0.4,0.0425531914893617,query_1,"['GO:0048167', 'GO:0050806']"
GO:BP,GO:1904062,regulation of monoatomic cation transmembrane transport,5,283,10,3.4066397799593564e-06,2.529430036619822e-05,2902;2903;2904;2905;2906,True,"""Any process that modulates the frequency, rate or extent of cation transmembrane transport."" [GO_REF:0000058, GOC:TermGenie, PMID:15304482]",19241,0.5,0.0176678445229682,query_1,"['GO:0034765', 'GO:0098655']"
GO:BP,GO:0034765,regulation of monoatomic ion transmembrane transport,5,320,10,6.010794971262062e-06,4.3541612352800786e-05,2902;2903;2904;2905;2906,True,"""Any process that modulates the frequency, rate or extent of the directed movement of ions from one side of a membrane to the other."" [GOC:mah]",19241,0.5,0.015625,query_1,"['GO:0034220', 'GO:0034762', 'GO:0043269']"
GO:BP,GO:0070588,calcium ion transmembrane transport,5,336,10,7.349838048147506e-06,5.197385476904308e-05,2902;2903;2904;2905;2906,True,"""A process in which a calcium ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore."" [GOC:mah]",19241,0.5,0.01488095238095238,query_1,"['GO:0006816', 'GO:0098655', 'GO:0098662']"
GO:BP,GO:0099505,regulation of presynaptic membrane potential,3,30,10,7.787982699292688e-06,5.379141538813786e-05,2899;2904;2906,True,"""Any process that modulates the potential difference across a presynaptic membrane."" [GOC:dph, GOC:ef]",19241,0.3,0.1,query_1,['GO:0042391']
GO:BP,GO:0007420,brain development,6,748,10,1.1442293180405614e-05,7.233034793348815e-05,2902;2903;2904;2905;2906;54768,True,"""The process whose specific outcome is the progression of the brain over time, from its formation to the mature structure. Brain development begins with patterning events in the neural tube and ends with the mature structure that is the center of thought and emotion. The brain is responsible for the coordination and control of bodily activities and the interpretation of information from the senses (sight, hearing, smell, etc.)."" [GOC:dph, GOC:jid, GOC:tb, UBERON:0000955]",19241,0.6,0.008021390374331552,query_1,"['GO:0007417', 'GO:0048513', 'GO:0060322']"
GO:BP,GO:0098916,anterograde trans-synaptic signaling,6,758,10,1.1518632185910734e-05,7.233034793348815e-05,2899;2902;2903;2904;2905;2906,True,"""Cell-cell signaling from pre to post-synapse, across the synaptic cleft."" [GOC:dos]",19241,0.6,0.0079155672823219,query_1,['GO:0099537']
GO:BP,GO:0007268,chemical synaptic transmission,6,758,10,1.1518632185910734e-05,7.233034793348815e-05,2899;2902;2903;2904;2905;2906,True,"""The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:jl, MeSH:D009435]",19241,0.6,0.0079155672823219,query_1,['GO:0098916']
GO:BP,GO:0099537,trans-synaptic signaling,6,764,10,1.1663014310544355e-05,7.233034793348815e-05,2899;2902;2903;2904;2905;2906,True,"""Cell-cell signaling in either direction across the synaptic cleft."" [GOC:dos]",19241,0.6,0.007853403141361256,query_1,['GO:0099536']
GO:BP,GO:0033058,directional locomotion,2,3,10,1.1689753201371823e-05,7.233034793348815e-05,2903;2905,True,"""Self-propelled movement of a cell or organism from one location to another along an axis."" [GOC:mtg_MIT_16mar07]",19241,0.2,0.6666666666666666,query_1,['GO:0040011']
GO:BP,GO:0099536,synaptic signaling,6,789,10,1.3211612160775558e-05,8.007854717857838e-05,2899;2902;2903;2904;2905;2906,True,"""Cell-cell signaling to, from or within a synapse."" [GOC:dos]",19241,0.6,0.0076045627376425855,query_1,['GO:0007267']
